x y e
28.9213 2.0513 0.8183
29.5506 2.0513 0.8564
30.1798 2.0513 0.8867
30.8090 2.0513 0.9098
31.4382 2.0513 0.9261
32.0674 2.0513 0.9363
32.6966 2.0513 0.9407
33.3258 2.0513 0.9400
33.9551 2.0513 0.9346
34.5843 2.0513 0.9249
35.2135 2.0513 0.9116
35.8427 2.0513 0.8955
36.4719 2.0513 0.8772
37.1011 2.0513 0.8577
37.7303 2.0513 0.8375
38.3596 2.0513 0.8172
38.9888 2.0513 0.7968
39.6180 2.0513 0.7764
40.2472 2.0513 0.7558
40.8764 2.0513 0.7344
