x y e
74.2921 26.3636 0.1520
75.0337 26.3636 0.0673
75.7753 26.3636 0.0000
76.5169 26.3636 0.0000
77.2584 26.3636 0.0000
78.0000 26.3636 0.0000

12.0000 27.0909 0.0000
12.7416 27.0909 0.0000
13.4831 27.0909 0.0000
14.2247 27.0909 0.0000
14.9663 27.0909 0.0769
15.7079 27.0909 0.1510
16.4494 27.0909 0.2206
17.1910 27.0909 0.2853
17.9326 27.0909 0.3446
18.6742 27.0909 0.3981
19.4157 27.0909 0.4455
20.1573 27.0909 0.4865
20.8989 27.0909 0.5211
21.6404 27.0909 0.5493
22.3820 27.0909 0.5716
23.1236 27.0909 0.5885
23.8652 27.0909 0.6006
24.6067 27.0909 0.6089
25.3483 27.0909 0.6141
26.0899 27.0909 0.6172
26.8315 27.0909 0.6190
27.5730 27.0909 0.6200
28.3146 27.0909 0.6208
29.0562 27.0909 0.6217
29.7978 27.0909 0.6231
30.5393 27.0909 0.6249
31.2809 27.0909 0.6274
32.0225 27.0909 0.6304
32.7640 27.0909 0.6339
33.5056 27.0909 0.6380
34.2472 27.0909 0.6427
34.9888 27.0909 0.6481
35.7303 27.0909 0.6543
36.4719 27.0909 0.6616
37.2135 27.0909 0.6699
37.9551 27.0909 0.6795
38.6966 27.0909 0.6900
39.4382 27.0909 0.7011
40.1798 27.0909 0.7123
40.9213 27.0909 0.7231
41.6629 27.0909 0.7328
42.4045 27.0909 0.7409
43.1461 27.0909 0.7469
43.8876 27.0909 0.7505
44.6292 27.0909 0.7513
45.3708 27.0909 0.7494
46.1124 27.0909 0.7449
46.8539 27.0909 0.7379
47.5955 27.0909 0.7290
48.3371 27.0909 0.7186
49.0787 27.0909 0.7075
49.8202 27.0909 0.6963
50.5618 27.0909 0.6856
51.3034 27.0909 0.6759
52.0449 27.0909 0.6675
52.7865 27.0909 0.6604
53.5281 27.0909 0.6547
54.2697 27.0909 0.6500
55.0112 27.0909 0.6463
55.7528 27.0909 0.6433
56.4944 27.0909 0.6407
57.2360 27.0909 0.6385
57.9775 27.0909 0.6364
58.7191 27.0909 0.6343
59.4607 27.0909 0.6323
60.2022 27.0909 0.6304
60.9438 27.0909 0.6285
61.6854 27.0909 0.6268
62.4270 27.0909 0.6255
63.1685 27.0909 0.6245
63.9101 27.0909 0.6236
64.6517 27.0909 0.6226
65.3933 27.0909 0.6210
66.1348 27.0909 0.6180
66.8764 27.0909 0.6126
67.6180 27.0909 0.6038
68.3596 27.0909 0.5906
69.1011 27.0909 0.5719
69.8427 27.0909 0.5468
70.5843 27.0909 0.5143
71.3258 27.0909 0.4736
72.0674 27.0909 0.4242
72.8090 27.0909 0.3656
73.5506 27.0909 0.2977
74.2921 27.0909 0.2206
75.0337 27.0909 0.1350
75.7753 27.0909 0.0417
76.5169 27.0909 0.0000
77.2584 27.0909 0.0000
78.0000 27.0909 0.0000

12.0000 27.8182 0.0000
12.7416 27.8182 0.0000
13.4831 27.8182 0.0000
14.2247 27.8182 0.0547
14.9663 27.8182 0.1347
15.7079 27.8182 0.2105
16.4494 27.8182 0.2814
17.1910 27.8182 0.3472
17.9326 27.8182 0.4075
18.6742 27.8182 0.4617
19.4157 27.8182 0.5096
20.1573 27.8182 0.5509
20.8989 27.8182 0.5857
21.6404 27.8182 0.6140
22.3820 27.8182 0.6363
23.1236 27.8182 0.6531
23.8652 27.8182 0.6652
24.6067 27.8182 0.6733
25.3483 27.8182 0.6784
26.0899 27.8182 0.6813
26.8315 27.8182 0.6828
27.5730 27.8182 0.6837
28.3146 27.8182 0.6844
29.0562 27.8182 0.6854
29.7978 27.8182 0.6868
30.5393 27.8182 0.6887
31.2809 27.8182 0.6913
32.0225 27.8182 0.6944
32.7640 27.8182 0.6979
33.5056 27.8182 0.7019
34.2472 27.8182 0.7063
34.9888 27.8182 0.7112
35.7303 27.8182 0.7167
36.4719 27.8182 0.7231
37.2135 27.8182 0.7304
37.9551 27.8182 0.7387
38.6966 27.8182 0.7478
39.4382 27.8182 0.7575
40.1798 27.8182 0.7673
40.9213 27.8182 0.7768
41.6629 27.8182 0.7853
42.4045 27.8182 0.7924
43.1461 27.8182 0.7977
43.8876 27.8182 0.8009
44.6292 27.8182 0.8016
45.3708 27.8182 0.8000
46.1124 27.8182 0.7960
46.8539 27.8182 0.7898
47.5955 27.8182 0.7818
48.3371 27.8182 0.7725
49.0787 27.8182 0.7624
49.8202 27.8182 0.7521
50.5618 27.8182 0.7423
51.3034 27.8182 0.7332
52.0449 27.8182 0.7253
52.7865 27.8182 0.7186
53.5281 27.8182 0.7132
54.2697 27.8182 0.7088
55.0112 27.8182 0.7052
55.7528 27.8182 0.7024
56.4944 27.8182 0.7000
57.2360 27.8182 0.6979
57.9775 27.8182 0.6960
58.7191 27.8182 0.6941
59.4607 27.8182 0.6923
60.2022 27.8182 0.6905
60.9438 27.8182 0.6888
61.6854 27.8182 0.6873
62.4270 27.8182 0.6860
63.1685 27.8182 0.6851
63.9101 27.8182 0.6842
64.6517 27.8182 0.6832
65.3933 27.8182 0.6814
66.1348 27.8182 0.6781
66.8764 27.8182 0.6724
67.6180 27.8182 0.6634
68.3596 27.8182 0.6501
69.1011 27.8182 0.6313
69.8427 27.8182 0.6062
70.5843 27.8182 0.5738
71.3258 27.8182 0.5333
72.0674 27.8182 0.4842
72.8090 27.8182 0.4259
73.5506 27.8182 0.3582
74.2921 27.8182 0.2811
75.0337 27.8182 0.1950
75.7753 27.8182 0.1006
76.5169 27.8182 0.0000
77.2584 27.8182 0.0000
78.0000 27.8182 0.0000

12.0000 28.5455 0.0000
12.7416 28.5455 0.0000
13.4831 28.5455 0.0184
14.2247 28.5455 0.1042
14.9663 28.5455 0.1859
15.7079 28.5455 0.2631
16.4494 28.5455 0.3353
17.1910 28.5455 0.4021
17.9326 28.5455 0.4631
18.6742 28.5455 0.5179
19.4157 28.5455 0.5662
20.1573 28.5455 0.6078
20.8989 28.5455 0.6427
21.6404 28.5455 0.6711
22.3820 28.5455 0.6934
23.1236 28.5455 0.7102
23.8652 28.5455 0.7222
24.6067 28.5455 0.7303
25.3483 28.5455 0.7354
26.0899 28.5455 0.7383
26.8315 28.5455 0.7398
27.5730 28.5455 0.7406
28.3146 28.5455 0.7414
29.0562 28.5455 0.7423
29.7978 28.5455 0.7437
30.5393 28.5455 0.7457
31.2809 28.5455 0.7483
32.0225 28.5455 0.7514
32.7640 28.5455 0.7548
33.5056 28.5455 0.7586
34.2472 28.5455 0.7627
34.9888 28.5455 0.7670
35.7303 28.5455 0.7719
36.4719 28.5455 0.7774
37.2135 28.5455 0.7836
37.9551 28.5455 0.7906
38.6966 28.5455 0.7984
39.4382 28.5455 0.8067
40.1798 28.5455 0.8151
40.9213 28.5455 0.8232
41.6629 28.5455 0.8306
42.4045 28.5455 0.8368
43.1461 28.5455 0.8414
43.8876 28.5455 0.8442
44.6292 28.5455 0.8449
45.3708 28.5455 0.8435
46.1124 28.5455 0.8401
46.8539 28.5455 0.8347
47.5955 28.5455 0.8278
48.3371 28.5455 0.8196
49.0787 28.5455 0.8106
49.8202 28.5455 0.8014
50.5618 28.5455 0.7925
51.3034 28.5455 0.7842
52.0449 28.5455 0.7770
52.7865 28.5455 0.7708
53.5281 28.5455 0.7657
54.2697 28.5455 0.7616
55.0112 28.5455 0.7583
55.7528 28.5455 0.7556
56.4944 28.5455 0.7534
57.2360 28.5455 0.7514
57.9775 28.5455 0.7496
58.7191 28.5455 0.7479
59.4607 28.5455 0.7462
60.2022 28.5455 0.7445
60.9438 28.5455 0.7428
61.6854 28.5455 0.7414
62.4270 28.5455 0.7401
63.1685 28.5455 0.7391
63.9101 28.5455 0.7381
64.6517 28.5455 0.7367
65.3933 28.5455 0.7346
66.1348 28.5455 0.7309
66.8764 28.5455 0.7247
67.6180 28.5455 0.7153
68.3596 28.5455 0.7015
69.1011 28.5455 0.6824
69.8427 28.5455 0.6571
70.5843 28.5455 0.6246
71.3258 28.5455 0.5843
72.0674 28.5455 0.5354
72.8090 28.5455 0.4774
73.5506 28.5455 0.4100
74.2921 28.5455 0.3330
75.0337 28.5455 0.2468
75.7753 28.5455 0.1520
76.5169 28.5455 0.0496
77.2584 28.5455 0.0000
78.0000 28.5455 0.0000

12.0000 29.2727 0.0000
12.7416 29.2727 0.0000
13.4831 29.2727 0.0596
14.2247 29.2727 0.1473
14.9663 29.2727 0.2306
15.7079 29.2727 0.3091
16.4494 29.2727 0.3824
17.1910 29.2727 0.4501
17.9326 29.2727 0.5117
18.6742 29.2727 0.5669
19.4157 29.2727 0.6155
20.1573 29.2727 0.6573
20.8989 29.2727 0.6922
21.6404 29.2727 0.7207
22.3820 29.2727 0.7430
23.1236 29.2727 0.7598
23.8652 29.2727 0.7719
24.6067 29.2727 0.7801
25.3483 29.2727 0.7852
