x y

15.2516 7.5313
15.5946 8.5578
14.5403 8.5240
15.2516 7.5313

55.0432 10.6102
55.2527 10.3500
56.3503 12.4422
55.0432 10.6102

61.1457 5.6662
63.3093 4.7746
64.2178 5.2381
62.8405 7.1567
61.1457 5.6662

14.5403 8.5240
15.5946 8.5578
15.1089 9.0733
14.5403 8.5240

53.0484 10.6078
54.5759 10.3645
52.8959 15.3160
52.3839 15.0634
53.0484 10.6078

41.9974 12.9146
44.9901 12.6562
41.7627 15.5700
41.9974 12.9146

51.7229 7.4014
54.5759 10.3645
51.6214 9.2086
51.7229 7.4014

25.4859 7.3339
27.2764 6.7892
26.3633 8.1484
25.4859 7.3339

77.7621 3.9215
81.2724 7.1755
80.8374 8.5426
77.7621 3.9215

55.4739 2.2366
56.1741 1.5700
57.8288 3.1853
57.9468 4.7606
55.4739 2.2366

54.9034 10.4998
55.0432 10.6102
54.9219 10.8082
54.9034 10.4998

39.8324 14.1526
40.9924 14.3928
40.4863 15.5700
39.8324 14.1526

52.9307 2.3729
53.7325 1.5700
54.9034 3.5624
54.8046 5.4480
52.9307 2.3729

80.8374 8.5426
81.1869 10.2773
74.4757 12.3590
73.7948 11.2426
80.8374 8.5426

50.0458 8.2783
51.6214 9.2086
48.2496 10.6750
47.5850 10.2674
50.0458 8.2783

52.3839 15.0634
52.8959 15.3160
52.8866 15.5700
52.3839 15.0634

61.5477 8.8852
62.8405 7.1567
65.2963 9.7036
64.0301 11.2440
61.5477 8.8852

40.5272 5.5220
38.4062 6.6111
37.7536 6.2359
40.5272 5.5220

29.4344 5.5805
29.1263 7.2613
27.2764 6.7892
29.4344 5.5805

19.8001 1.6202
19.8365 1.5792
20.5188 8.5077
15.5946 8.5578
19.8001 1.6202

42.2027 5.0257
44.7197 5.0356
44.2387 6.8658
